timestamp,market,timeframe,up_price,down_price,volume,outcome,slug
2026-02-26T12:30:00Z,BTC-USD-5M-PM,5m,0.01,0.99,67898.170288,down,btc-updown-5m-1772108700
2026-02-26T12:35:00Z,BTC-USD-5M-PM,5m,0.999,0.001,121818.525803,up,btc-updown-5m-1772109000
2026-02-26T12:40:00Z,BTC-USD-5M-PM,5m,0.999,0.001,94755.221779,up,btc-updown-5m-1772109300
2026-02-26T12:45:00Z,BTC-USD-5M-PM,5m,0.01,0.99,98146.709615,down,btc-updown-5m-1772109600
2026-02-26T12:50:00Z,BTC-USD-5M-PM,5m,0.41,0.59,52821.030201,up,btc-updown-5m-1772109900
2026-02-26T12:55:00Z,BTC-USD-5M-PM,5m,0.19,0.81,73644.418539,down,btc-updown-5m-1772110200
2026-02-26T13:00:00Z,BTC-USD-5M-PM,5m,0.01,0.99,130031.127916,down,btc-updown-5m-1772110500
2026-02-26T13:05:00Z,BTC-USD-5M-PM,5m,0.01,0.99,106900.671372,down,btc-updown-5m-1772110800
2026-02-26T13:10:00Z,BTC-USD-5M-PM,5m,0.01,0.99,94841.412951,down,btc-updown-5m-1772111100
2026-02-26T13:15:00Z,BTC-USD-5M-PM,5m,0.001,0.999,82394.569222,down,btc-updown-5m-1772111400
2026-02-26T13:20:00Z,BTC-USD-5M-PM,5m,0.01,0.99,133317.127951,down,btc-updown-5m-1772111700
2026-02-26T13:25:00Z,BTC-USD-5M-PM,5m,0.999,0.001,59062.101269,up,btc-updown-5m-1772112000
2026-02-26T13:30:00Z,BTC-USD-5M-PM,5m,0.999,0.001,75088.060349,up,btc-updown-5m-1772112300
2026-02-26T13:35:00Z,BTC-USD-5M-PM,5m,0.001,0.999,97389.612676,down,btc-updown-5m-1772112600
2026-02-26T13:40:00Z,BTC-USD-5M-PM,5m,0.001,0.999,117605.187552,down,btc-updown-5m-1772112900
2026-02-26T13:45:00Z,BTC-USD-5M-PM,5m,0.99,0.01,117976.622858,up,btc-updown-5m-1772113200
2026-02-26T13:50:00Z,BTC-USD-5M-PM,5m,0.98,0.02,26051.246625,up,btc-updown-5m-1772113500
2026-02-26T13:55:00Z,BTC-USD-5M-PM,5m,0.01,0.99,18402.440542,down,btc-updown-5m-1772113800
2026-02-26T14:00:00Z,BTC-USD-5M-PM,5m,0.01,0.99,43431.616603,down,btc-updown-5m-1772114100
2026-02-26T14:05:00Z,BTC-USD-5M-PM,5m,0.01,0.99,131970.994407,down,btc-updown-5m-1772114400
2026-02-26T14:10:00Z,BTC-USD-5M-PM,5m,0.001,0.999,136551.015722,down,btc-updown-5m-1772114700
2026-02-26T14:15:00Z,BTC-USD-5M-PM,5m,0.999,0.001,27546.753725,up,btc-updown-5m-1772115000
2026-02-26T14:20:00Z,BTC-USD-5M-PM,5m,0.02,0.98,8140.844261,down,btc-updown-5m-1772115300
2026-02-26T14:25:00Z,BTC-USD-5M-PM,5m,0.99,0.01,99345.399677,up,btc-updown-5m-1772115600
2026-02-26T14:30:00Z,BTC-USD-5M-PM,5m,0.01,0.99,177.32431,down,btc-updown-5m-1772115900
2026-02-26T14:35:00Z,BTC-USD-5M-PM,5m,0.15,0.85,167.509799,down,btc-updown-5m-1772116200
2026-02-26T14:40:00Z,BTC-USD-5M-PM,5m,0.01,0.99,28.80392,down,btc-updown-5m-1772116500
2026-02-26T14:45:00Z,BTC-USD-5M-PM,5m,0.48,0.52,38,down,btc-updown-5m-1772116800
2026-02-26T14:50:00Z,BTC-USD-5M-PM,5m,0.01,0.99,52.764704,down,btc-updown-5m-1772117100
2026-02-26T14:55:00Z,BTC-USD-5M-PM,5m,0.999,0.001,197504.080639,up,btc-updown-5m-1772117400
2026-02-26T15:00:00Z,BTC-USD-5M-PM,5m,0.99,0.01,129336.888582,up,btc-updown-5m-1772117700
2026-02-26T15:05:00Z,BTC-USD-5M-PM,5m,0.02,0.98,7,down,btc-updown-5m-1772118000
2026-02-26T15:10:00Z,BTC-USD-5M-PM,5m,0.43,0.57,2,down,btc-updown-5m-1772118300
2026-02-26T15:15:00Z,BTC-USD-5M-PM,5m,0.91,0.09,2,up,btc-updown-5m-1772118600
2026-02-26T15:20:00Z,BTC-USD-5M-PM,5m,0.01,0.99,105817.179332,down,btc-updown-5m-1772118900
2026-02-26T15:25:00Z,BTC-USD-5M-PM,5m,0.5,0.5,25.725486,up,btc-updown-5m-1772119200
2026-02-26T15:30:00Z,BTC-USD-5M-PM,5m,0.77,0.23,52,down,btc-updown-5m-1772119500
2026-02-26T15:35:00Z,BTC-USD-5M-PM,5m,0.001,0.999,186953.821951,down,btc-updown-5m-1772119800
2026-02-26T15:40:00Z,BTC-USD-5M-PM,5m,0.999,0.001,164484.887357,up,btc-updown-5m-1772120100
2026-02-26T15:45:00Z,BTC-USD-5M-PM,5m,0.999,0.001,199659.671263,up,btc-updown-5m-1772120400
2026-02-26T15:50:00Z,BTC-USD-5M-PM,5m,0.99,0.01,234608.926461,up,btc-updown-5m-1772120700
2026-02-26T15:55:00Z,BTC-USD-5M-PM,5m,0.01,0.99,969.011952,down,btc-updown-5m-1772121000
2026-02-26T16:00:00Z,BTC-USD-5M-PM,5m,0.99,0.01,1175.4894,up,btc-updown-5m-1772121300
2026-02-26T16:05:00Z,BTC-USD-5M-PM,5m,0.23,0.77,914.883522,down,btc-updown-5m-1772121600
2026-02-26T16:10:00Z,BTC-USD-5M-PM,5m,0.001,0.999,111308.207911,down,btc-updown-5m-1772121900
2026-02-26T16:15:00Z,BTC-USD-5M-PM,5m,0.2,0.8,43276.424416,up,btc-updown-5m-1772122200
