timestamp,market,timeframe,up_price,down_price,volume,outcome,slug
2026-02-26T12:30:00Z,ETH-USD-5M-PM,5m,0.02,0.98,7751.152285,down,eth-updown-5m-1772108700
2026-02-26T12:35:00Z,ETH-USD-5M-PM,5m,0.72,0.28,11535.959495,up,eth-updown-5m-1772109000
2026-02-26T12:40:00Z,ETH-USD-5M-PM,5m,0.99,0.01,12036.585411,up,eth-updown-5m-1772109300
2026-02-26T12:45:00Z,ETH-USD-5M-PM,5m,0.01,0.99,14687.985398,down,eth-updown-5m-1772109600
2026-02-26T12:50:00Z,ETH-USD-5M-PM,5m,0.73,0.27,7004.669929,up,eth-updown-5m-1772109900
2026-02-26T12:55:00Z,ETH-USD-5M-PM,5m,0.39,0.61,8539.558784,down,eth-updown-5m-1772110200
2026-02-26T13:00:00Z,ETH-USD-5M-PM,5m,0.99,0.01,13508.59088,up,eth-updown-5m-1772110500
2026-02-26T13:05:00Z,ETH-USD-5M-PM,5m,0.01,0.99,12414.740236,down,eth-updown-5m-1772110800
2026-02-26T13:10:00Z,ETH-USD-5M-PM,5m,0.01,0.99,11227.367129,down,eth-updown-5m-1772111100
2026-02-26T13:15:00Z,ETH-USD-5M-PM,5m,0.01,0.99,10289.130029,down,eth-updown-5m-1772111400
2026-02-26T13:20:00Z,ETH-USD-5M-PM,5m,0.01,0.99,12035.329582,down,eth-updown-5m-1772111700
2026-02-26T13:25:00Z,ETH-USD-5M-PM,5m,0.99,0.01,13429.385422,up,eth-updown-5m-1772112000
2026-02-26T13:30:00Z,ETH-USD-5M-PM,5m,0.999,0.001,7239.025458,up,eth-updown-5m-1772112300
2026-02-26T13:35:00Z,ETH-USD-5M-PM,5m,0.01,0.99,10648.195894,down,eth-updown-5m-1772112600
2026-02-26T13:40:00Z,ETH-USD-5M-PM,5m,0.01,0.99,10701.154022,down,eth-updown-5m-1772112900
2026-02-26T13:45:00Z,ETH-USD-5M-PM,5m,0.48,0.52,3933.71549,up,eth-updown-5m-1772113200
2026-02-26T13:50:00Z,ETH-USD-5M-PM,5m,0.99,0.01,2447.040003,up,eth-updown-5m-1772113500
2026-02-26T13:55:00Z,ETH-USD-5M-PM,5m,0.01,0.99,1974.586368,down,eth-updown-5m-1772113800
2026-02-26T14:00:00Z,ETH-USD-5M-PM,5m,0.01,0.99,10984.79896,down,eth-updown-5m-1772114100
2026-02-26T14:05:00Z,ETH-USD-5M-PM,5m,0.06,0.94,215.165487,down,eth-updown-5m-1772114400
2026-02-26T14:10:00Z,ETH-USD-5M-PM,5m,0.01,0.99,1450.085824,down,eth-updown-5m-1772114700
2026-02-26T14:15:00Z,ETH-USD-5M-PM,5m,0.999,0.001,2871.786461,up,eth-updown-5m-1772115000
2026-02-26T14:20:00Z,ETH-USD-5M-PM,5m,0.09,0.91,803.091701,down,eth-updown-5m-1772115300
2026-02-26T14:25:00Z,ETH-USD-5M-PM,5m,0.99,0.01,4249.802482,up,eth-updown-5m-1772115600
